iter	Passed	Remaining
0	157	156855
1	157	78720
2	158	52605
3	158	39556
4	159	31722
5	159	26499
6	160	22765
7	160	19963
8	161	17783
9	162	16039
10	162	14612
11	163	13425
12	163	12419
13	164	11556
14	164	10809
15	165	10159
16	165	9585
17	166	9080
18	167	8636
19	168	8244
20	169	7880
21	169	7542
22	170	7229
23	170	6942
24	171	6678
25	171	6434
26	172	6209
27	172	5999
28	173	5804
29	173	5621
30	174	5450
31	174	5290
32	175	5142
33	176	5000
34	176	4867
35	177	4741
36	177	4622
37	178	4509
38	178	4401
39	179	4304
40	180	4210
41	180	4123
42	181	4041
43	182	3960
44	183	3885
45	183	3808
46	184	3735
47	184	3665
48	185	3596
49	185	3531
50	186	3468
51	186	3407
52	187	3349
53	187	3292
54	188	3239
55	189	3188
56	189	3137
57	190	3088
58	190	3040
59	191	2995
60	191	2950
61	192	2908
62	192	2866
63	193	2826
64	193	2790
65	194	2754
66	195	2721
67	196	2690
68	197	2660
69	197	2628
70	198	2595
71	198	2563
72	199	2532
73	199	2502
74	200	2472
75	200	2443
76	201	2416
77	202	2389
78	202	2362
79	203	2336
80	203	2310
81	204	2285
82	204	2258
83	204	2235
84	205	2212
85	206	2189
86	206	2167
87	207	2145
88	207	2124
89	208	2104
90	209	2087
91	209	2070
92	210	2052
93	211	2034
94	211	2017
95	212	2000
96	212	1982
97	213	1966
98	214	1949
99	214	1933
100	215	1916
101	215	1900
102	216	1884
103	216	1868
104	217	1853
105	217	1838
106	218	1823
107	219	1809
108	219	1795
109	220	1781
110	220	1767
111	221	1753
112	221	1740
113	222	1727
114	222	1715
115	223	1703
116	224	1691
117	224	1680
118	225	1670
119	226	1660
120	227	1650
121	227	1639
122	228	1628
123	228	1617
124	229	1606
125	229	1595
126	230	1583
127	230	1573
128	231	1563
129	232	1552
130	232	1542
131	233	1532
132	233	1523
133	234	1513
134	234	1504
135	235	1494
136	235	1485
137	236	1476
138	237	1469
139	237	1461
140	238	1454
141	239	1445
142	239	1438
143	240	1430
144	241	1424
145	242	1416
146	242	1408
147	243	1400
148	243	1392
149	244	1385
150	244	1377
151	245	1369
152	246	1363
153	246	1356
154	247	1349
155	248	1341
156	248	1334
157	249	1327
158	249	1320
159	250	1313
160	250	1305
161	251	1298
162	251	1291
163	252	1285
164	252	1278
165	253	1273
166	254	1268
167	255	1263
168	255	1258
169	256	1253
170	257	1247
171	257	1241
172	258	1235
173	259	1229
174	259	1223
175	260	1217
176	260	1211
177	261	1206
178	261	1200
179	262	1194
180	262	1189
181	263	1183
182	263	1178
183	264	1173
184	265	1168
185	265	1162
186	266	1157
187	266	1152
188	267	1147
189	267	1142
190	268	1138
191	269	1133
192	269	1128
193	270	1124
194	271	1119
195	271	1114
196	272	1110
197	272	1105
198	273	1100
199	274	1096
200	274	1091
201	275	1086
202	275	1082
203	276	1077
204	276	1073
205	277	1068
206	277	1064
207	278	1060
208	279	1055
209	279	1051
210	280	1047
211	280	1043
212	281	1038
213	281	1034
214	282	1030
215	282	1026
216	283	1023
217	284	1019
218	285	1016
219	285	1013
220	286	1009
221	287	1006
222	287	1002
223	288	998
224	288	994
225	289	990
226	289	987
227	290	983
228	291	979
229	291	976
230	292	972
231	292	969
232	293	966
233	294	962
234	294	958
235	295	955
236	295	951
237	296	948
238	296	944
239	297	941
240	297	938
241	298	935
242	299	932
243	299	929
244	300	926
245	301	923
246	301	920
247	302	917
248	303	914
249	303	911
250	304	908
251	304	905
252	305	901
253	305	898
254	306	895
255	307	892
256	307	889
257	308	886
258	308	883
259	309	880
260	310	877
261	310	874
262	311	871
263	311	868
264	312	865
265	312	863
266	313	860
267	314	858
268	314	855
269	315	853
270	316	850
271	316	848
272	317	845
273	317	842
274	318	839
275	319	837
276	319	834
277	320	831
278	320	829
279	321	826
280	322	823
281	322	821
282	323	818
283	323	815
284	324	813
285	324	810
286	325	808
287	325	805
288	326	803
289	327	800
290	327	798
291	328	796
292	329	794
293	329	792
294	330	790
295	331	787
296	331	785
297	332	782
298	332	780
299	333	778
300	334	775
301	334	773
302	335	771
303	335	768
304	336	766
305	336	763
306	337	761
307	337	759
308	338	756
309	338	754
310	339	752
311	340	749
312	340	747
313	341	745
314	341	743
315	342	740
316	342	738
317	343	737
318	344	735
319	345	733
320	346	731
321	346	729
322	347	727
323	347	725
324	348	723
325	348	721
326	349	719
327	350	717
328	350	715
329	351	712
330	351	710
331	352	708
332	352	706
333	353	704
334	353	702
335	354	700
336	355	698
337	355	696
338	356	694
339	356	692
340	357	690
341	358	689
342	358	687
343	359	685
344	360	683
345	360	682
346	361	680
347	361	678
348	362	676
349	363	674
350	363	672
351	364	670
352	364	668
353	365	667
354	366	665
355	366	663
356	367	661
357	367	659
358	368	657
359	368	655
360	369	653
361	369	651
362	370	650
363	371	648
364	371	646
365	372	645
366	373	643
367	373	642
368	374	640
369	375	639
370	376	637
371	376	636
372	378	635
373	378	633
374	379	632
375	379	630
376	380	628
377	381	627
378	381	625
379	382	623
380	382	622
381	383	620
382	384	618
383	384	617
384	385	615
385	385	613
386	386	612
387	387	610
388	387	608
389	388	607
390	389	606
391	389	604
392	390	603
393	391	602
394	392	600
395	392	599
396	393	597
397	394	596
398	394	594
399	395	592
400	395	591
